product_id;sku;name;price;availability;category;url
40556;40556;Аккумулятор без шлейфа iPhone 12 Mini (Банка);700.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Стандартные без шлейфа;https://05gsm.ru/catalog/40556/
1119267;1119267;Аккумулятор ORIG Huawei Honor Y6-II / 5X / G8 / G7 Plus  (HB396481EBC);500.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы Huawei;https://05gsm.ru/catalog/1119267/
1178871;1178871;Аккумулятор ORIG Huawei Honor 7X / Honor 20 lite/Honor 20s/Nova 2pl /Nova 2i/p30 lite (HB356687ECW);400.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы Huawei;https://05gsm.ru/catalog/1178871/
40559;40559;Аккумулятор без шлейфа iPhone 13 Pro Max (Банка);1000.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Стандартные без шлейфа;https://05gsm.ru/catalog/40559/
55149;55149;Аккумулятор без шлейфа iPhone 13 Mini (Банка);700.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Стандартные без шлейфа;https://05gsm.ru/catalog/55149/
1175978;1175978;"Аккумулятор усиленный без шлейфа iPhone 12/12 Pro (JCID; High Capacity Cell; 3200 мАч)";400.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1175978/
1176610;1176610;"Аккумулятор усиленный без шлейфа iPhone X (JCID; High Capacity Cell; 3100 мАч)";500.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176610/
1176609;1176609;"Аккумулятор усиленный без шлейфа iPhone XR (JCID; High Capacity Cell; 3500 мАч)";450.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176609/
1176611;1176611;"Аккумулятор усиленный без шлейфа iPhone 11 (JCID; High Capacity Cell; 3500 мАч)";400.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176611/
1176614;1176614;"Аккумулятор усиленный без шлейфа iPhone 12 Pro Max (JCID; High Capacity Cell; 4450 мАч)";800.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176614/
1176612;1176612;"Аккумулятор усиленный без шлейфа iPhone 11 Pro Max (JCID; High Capacity Cell; 4440 мАч)";750.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176612/
1176613;1176613;"Аккумулятор усиленный без шлейфа iPhone 12 Mini (JCID; High Capacity Cell; 2520 мАч)";400.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176613/
1119001;1119001;Аккумулятор ORIG Huawei Honor 10 LITE/10i/P Smart (2019) (HB396286ECW);400.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы Huawei;https://05gsm.ru/catalog/1119001/
1176616;1176616;"Аккумулятор усиленный без шлейфа iPhone 13 (JCID; High Capacity Cell; 3500 мАч)";450.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176616/
1176615;1176615;"Аккумулятор усиленный без шлейфа iPhone 13 Mini (JCID; High Capacity Cell; 2580 мАч)";450.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176615/
1176618;1176618;"Аккумулятор усиленный без шлейфа iPhone 13 Pro Max (JCID; High Capacity Cell; 4550 мАч)";950.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176618/
1176619;1176619;"Аккумулятор усиленный без шлейфа iPhone XS (JCID; High Capacity Cell; 3020 мАч)";600.0;В наличии;Каталог > Запчасти для телефонов > Аккумуляторы > Аккумуляторы iPhone > Аккумуляторы без шлейфа > Усиленные без шлейфа;https://05gsm.ru/catalog/1176619/
