id,greenspark_id,name,url,category,brand,part_type,created_at,updated_at,price_retail,price_green5,quantity,last_parsed
794,314061,Шлейф для Iphone 13 + кнопки громкости/включения + беспроводная зарядка 100%,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_13_knopki_gromkosti_vklyucheniya_besprovodnaya_zaryadka_100.html,,Apple,Шлейф,2025-12-08 19:20:38,2025-12-08 19:32:03,650.0,523.0,none,2025-12-08 19:32:03
840,164292,Шлейф для iPhone 11 + антенна WiFi,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_antenna_wifi.html,,Apple,Шлейф,2025-12-08 19:20:48,2025-12-08 19:32:11,350.0,276.0,few,2025-12-08 19:32:11
835,245762,Шлейф для iPhone 11 + антенна WiFi (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_antenna_wifi_100_components.html,,Apple,Шлейф,2025-12-08 19:20:46,2025-12-08 19:30:27,680.0,541.0,few,2025-12-08 19:30:27
806,119715,Шлейф для iPhone 11 + кнопка вкл + вспышка,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_knopka_vkl_vspyshka.html,,Apple,Шлейф,2025-12-08 19:20:40,2025-12-08 19:30:21,230.0,162.0,none,2025-12-08 19:30:21
783,245760,Шлейф для iPhone 11 + кнопка вкл + вспышка (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_knopka_vkl_vspyshka_100_components.html,,Apple,Шлейф,2025-12-08 19:20:36,2025-12-08 19:30:17,410.0,310.0,none,2025-12-08 19:30:17
811,143049,Шлейф для iPhone 11 + кнопки громкости,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_knopki_gromkosti.html,,Apple,Шлейф,2025-12-08 19:20:42,2025-12-08 19:32:07,200.0,143.0,few,2025-12-08 19:32:07
779,245761,Шлейф для iPhone 11 + кнопки громкости (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_knopki_gromkosti_100_components.html,,Apple,Шлейф,2025-12-08 19:20:36,2025-12-08 19:30:17,420.0,304.0,none,2025-12-08 19:30:17
778,245758,Шлейф для iPhone 11 + разъем зарядки + микрофон (белый) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_belyy_100_components.html,,Apple,Шлейф,2025-12-08 19:20:34,2025-12-08 19:30:15,690.0,561.0,none,2025-12-08 19:30:15
774,273095,Шлейф для iPhone 11 + разъем зарядки + микрофон (белый) 100%,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_belyy_100.html,,Apple,Шлейф,2025-12-08 19:20:34,2025-12-08 19:32:01,1080.0,969.0,none,2025-12-08 19:32:01
982,87834,Шлейф для iPhone 11 + разъем зарядки + микрофон (желтый) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_zheltyy_100_components.html,,Apple,Шлейф,2025-12-08 19:21:16,2025-12-08 19:32:39,850.0,713.0,none,2025-12-08 19:32:39
979,87830,Шлейф для iPhone 11 + разъем зарядки + микрофон (зеленый) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_zelenyy_100_components.html,,Apple,Шлейф,2025-12-08 19:21:16,2025-12-08 19:32:37,850.0,713.0,none,2025-12-08 19:32:37
980,87832,Шлейф для iPhone 11 + разъем зарядки + микрофон (красный) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_krasnyy_100_components.html,,Apple,Шлейф,2025-12-08 19:21:16,2025-12-08 19:32:37,850.0,713.0,none,2025-12-08 19:32:37
